baseRewards.credits,baseRewards.data,baseWorkMs,cacheNeedBits,capability,category,clockHz,costs,cStateCost,cStateIdleMultiplier,definitionType,description,efficiency,firstCompletionData,id,index,kind,level,maxOfflineMs,name,objectiveIds,operationCount,phases,ramNeedBits,renewsStandingOrders,repeatable,repeatRewardData,requiredChapter,requiredCores,requiredResearchId,rewardCredits,sideArcId,tierId,tierName,upgradeCost,workUnitCount
,,,,,,431439883283408,,,,cpu-tier-level,,0.5,,,,,33,,,,,,,,,,,,,,,ghz,GHz CPU,2917388957100570000,
,,,,,,647159824925112,,,,cpu-tier-level,,0.5,,,,,34,,,,,,,,,,,,,,,ghz,GHz CPU,4745738954369200000,
,,,,,,970739737387668,,,,cpu-tier-level,,0.5,,,,,35,,,,,,,,,,,,,,,ghz,GHz CPU,7719929894230030000,
,,,,,,1456109606081502,,,,cpu-tier-level,,0.5,,,,,36,,,,,,,,,,,,,,,ghz,GHz CPU,12558069068876600000,
,,,,,,1000000000000,,,,cpu-tier-level,,1,,,,,1,,,,,,,,,,,,,,,thz,THz CPU,2000000000000000,
,,,,,,1500000000000,,,,cpu-tier-level,,1,,,,,2,,,,,,,,,,,,,,,thz,THz CPU,3268883912911990,
,,,,,,2250000000000,,,,cpu-tier-level,,1,,,,,3,,,,,,,,,,,,,,,thz,THz CPU,5317518490312990,
,,,,,,3375000000000,,,,cpu-tier-level,,0.9,,,,,4,,,,,,,,,,,,,,,thz,THz CPU,8650048043349370,
,,,,,,5062500000000,,,,cpu-tier-level,,0.9,,,,,5,,,,,,,,,,,,,,,thz,THz CPU,14071099383774400,
,,,,,,7593750000000,,,,cpu-tier-level,,0.9,,,,,6,,,,,,,,,,,,,,,thz,THz CPU,22889565107131000,
,,,,,,11390625000000,,,,cpu-tier-level,,0.9,,,,,7,,,,,,,,,,,,,,,thz,THz CPU,37234630820513500,
,,,,,,17085937500000,,,,cpu-tier-level,,0.9,,,,,8,,,,,,,,,,,,,,,thz,THz CPU,60569859053722300,
,,,,,,25628906250000,,,,cpu-tier-level,,0.9,,,,,9,,,,,,,,,,,,,,,thz,THz CPU,98529453493777800,
,,,,,,38443359375000,,,,cpu-tier-level,,0.8,,,,,10,,,,,,,,,,,,,,,thz,THz CPU,160278616418308000,
,,,,,,57665039062500,,,,cpu-tier-level,,0.8,,,,,11,,,,,,,,,,,,,,,thz,THz CPU,260726452548419000,
,,,,,,86497558593750,,,,cpu-tier-level,,0.8,,,,,12,,,,,,,,,,,,,,,thz,THz CPU,424125716689914000,
,,,,,,129746337890625,,,,cpu-tier-level,,0.8,,,,,13,,,,,,,,,,,,,,,thz,THz CPU,689928550783808000,
,,,,,,194619506835938,,,,cpu-tier-level,,0.8,,,,,14,,,,,,,,,,,,,,,thz,THz CPU,1122312056202570000,
,,,,,,291929260253907,,,,cpu-tier-level,,0.8,,,,,15,,,,,,,,,,,,,,,thz,THz CPU,1825673615139800000,
,,,,,,437893890380861,,,,cpu-tier-level,,0.7,,,,,16,,,,,,,,,,,,,,,thz,THz CPU,2969837248559350000,
,,,,,,656840835571292,,,,cpu-tier-level,,0.7,,,,,17,,,,,,,,,,,,,,,thz,THz CPU,4831056991671090000,
,,,,,,985261253356938,,,,cpu-tier-level,,0.7,,,,,18,,,,,,,,,,,,,,,thz,THz CPU,7858717398771860000,
,,,,,,1477891880035407,,,,cpu-tier-level,,0.7,,,,,19,,,,,,,,,,,,,,,thz,THz CPU,12783835765182400000,
,,,,,,2216837820053111,,,,cpu-tier-level,,0.7,,,,,20,,,,,,,,,,,,,,,thz,THz CPU,20795563522451800000,
,,,,,,3325256730079667,,,,cpu-tier-level,,0.7,,,,,21,,,,,,,,,,,,,,,thz,THz CPU,33828302409371300000,
,,,,,,4987885095119500,,,,cpu-tier-level,,0.7,,,,,22,,,,,,,,,,,,,,,thz,THz CPU,55028758545753400000,
,,,,,,7481827642679250,,,,cpu-tier-level,,0.6,,,,,23,,,,,,,,,,,,,,,thz,THz CPU,89515702870385600000,
,,,,,,11222741464018876,,,,cpu-tier-level,,0.6,,,,,24,,,,,,,,,,,,,,,thz,THz CPU,145615879262780000000,
,,,,,,16834112196028314,,,,cpu-tier-level,,0.6,,,,,25,,,,,,,,,,,,,,,thz,THz CPU,236874465747927000000,
,,,,,,25251168294042470,,,,cpu-tier-level,,0.6,,,,,26,,,,,,,,,,,,,,,thz,THz CPU,385325507131745000000,
,,,,,,37876752441063710,,,,cpu-tier-level,,0.6,,,,,27,,,,,,,,,,,,,,,thz,THz CPU,626811952810222000000,
,,,,,,56815128661595570,,,,cpu-tier-level,,0.6,,,,,28,,,,,,,,,,,,,,,thz,THz CPU,1.01963980300798e+21,
,,,,,,85222692992393340,,,,cpu-tier-level,,0.6,,,,,29,,,,,,,,,,,,,,,thz,THz CPU,1.65865587472761e+21,
,,,,,,127834039488590020,,,,cpu-tier-level,,0.6,,,,,30,,,,,,,,,,,,,,,thz,THz CPU,2.69814821140999e+21,
,,,,,,191751059232885020,,,,cpu-tier-level,,0.5,,,,,31,,,,,,,,,,,,,,,thz,THz CPU,4.38909835467254e+21,
,,,,,,287626588849327550,,,,cpu-tier-level,,0.5,,,,,32,,,,,,,,,,,,,,,thz,THz CPU,7.13977989997896e+21,
,,,,,,431439883273991300,,,,cpu-tier-level,,0.5,,,,,33,,,,,,,,,,,,,,,thz,THz CPU,1.16143346311379e+22,
,,,,,,647159824910987000,,,,cpu-tier-level,,0.5,,,,,34,,,,,,,,,,,,,,,thz,THz CPU,1.88931270730693e+22,
,,,,,,970739737366480500,,,,cpu-tier-level,,0.5,,,,,35,,,,,,,,,,,,,,,thz,THz CPU,3.07335944705919e+22,
,,,,,,1456109606049720800,,,,cpu-tier-level,,0.5,,,,,36,,,,,,,,,,,,,,,thz,THz CPU,4.99945734461918e+22,
,,,,,,1000000000000000,,,,cpu-tier-level,,0.5,,,,,1,,,,,,,,,,,,,,,phz,PHz CPU,7999999999999990000,
,,,,,,1500000000000000,,,,cpu-tier-level,,0.5,,,,,2,,,,,,,,,,,,,,,phz,PHz CPU,13013661254372400000,
,,,,,,2250000000000000,,,,cpu-tier-level,,0.5,,,,,3,,,,,,,,,,,,,,,phz,PHz CPU,21169422405444100000,
,,,,,,3375000000000000,,,,cpu-tier-level,,0.5,,,,,4,,,,,,,,,,,,,,,phz,PHz CPU,34436461516896300000,
,,,,,,5062500000000000,,,,cpu-tier-level,,0.5,,,,,5,,,,,,,,,,,,,,,phz,PHz CPU,56018055622514900000,
,,,,,,7593750000000000,,,,cpu-tier-level,,0.5,,,,,6,,,,,,,,,,,,,,,phz,PHz CPU,91124999999999900000,
,,,,,,11390625000000000,,,,cpu-tier-level,,0.5,,,,,7,,,,,,,,,,,,,,,phz,PHz CPU,148233735225585000000,
,,,,,,17085937500000000,,,,cpu-tier-level,,0.5,,,,,8,,,,,,,,,,,,,,,phz,PHz CPU,241132952087012000000,
,,,,,,25628906250000000,,,,cpu-tier-level,,0.5,,,,,9,,,,,,,,,,,,,,,phz,PHz CPU,392252819465897000000,
,,,,,,38443359375000000,,,,cpu-tier-level,,0.5,,,,,10,,,,,,,,,,,,,,,phz,PHz CPU,638080664825208000000,
,,,,,,57665039062500000,,,,cpu-tier-level,,0.5,,,,,11,,,,,,,,,,,,,,,phz,PHz CPU,1.037970703125e+21,
,,,,,,86497558593750000,,,,cpu-tier-level,,0.5,,,,,12,,,,,,,,,,,,,,,phz,PHz CPU,1.68847489030393e+21,
,,,,,,129746337890625000,,,,cpu-tier-level,,0.5,,,,,13,,,,,,,,,,,,,,,phz,PHz CPU,2.74665503236612e+21,
,,,,,,194619506835937470,,,,cpu-tier-level,,0.5,,,,,14,,,,,,,,,,,,,,,phz,PHz CPU,4.46800477172874e+21,
,,,,,,291929260253906200,,,,cpu-tier-level,,0.5,,,,,15,,,,,,,,,,,,,,,phz,PHz CPU,7.26813757277466e+21,
,,,,,,437893890380859260,,,,cpu-tier-level,,0.5,,,,,16,,,,,,,,,,,,,,,phz,PHz CPU,1.18231350402832e+22,
,,,,,,656840835571288800,,,,cpu-tier-level,,0.5,,,,,17,,,,,,,,,,,,,,,phz,PHz CPU,1.92327842973683e+22,
,,,,,,985261253356933200,,,,cpu-tier-level,,0.5,,,,,18,,,,,,,,,,,,,,,phz,PHz CPU,3.12861174780455e+22,
,,,,,,1477891880035400000,,,,cpu-tier-level,,0.5,,,,,19,,,,,,,,,,,,,,,phz,PHz CPU,5.0893366852973e+22,
,,,,,,2216837820053100000,,,,cpu-tier-level,,0.5,,,,,20,,,,,,,,,,,,,,,phz,PHz CPU,8.2788629539887e+22,
,,,,,,3325256730079650000,,,,cpu-tier-level,,0.5,,,,,21,,,,,,,,,,,,,,,phz,PHz CPU,1.34672897568227e+23,
,,,,,,4987885095119475000,,,,cpu-tier-level,,0.5,,,,,22,,,,,,,,,,,,,,,phz,PHz CPU,2.19073433637212e+23,
,,,,,,7481827642679212000,,,,cpu-tier-level,,0.5,,,,,23,,,,,,,,,,,,,,,phz,PHz CPU,3.56368431898363e+23,
,,,,,,11222741464018817000,,,,cpu-tier-level,,0.5,,,,,24,,,,,,,,,,,,,,,phz,PHz CPU,5.79707256809645e+23,
,,,,,,16834112196028226000,,,,cpu-tier-level,,0.5,,,,,25,,,,,,,,,,,,,,,phz,PHz CPU,9.4301423335277e+23,
,,,,,,25251168294042337000,,,,cpu-tier-level,,0.5,,,,,26,,,,,,,,,,,,,,,phz,PHz CPU,1.53400847386308e+24,
,,,,,,37876752441063510000,,,,cpu-tier-level,,0.5,,,,,27,,,,,,,,,,,,,,,phz,PHz CPU,2.49538333002386e+24,
,,,,,,56815128661595260000,,,,cpu-tier-level,,0.5,,,,,28,,,,,,,,,,,,,,,phz,PHz CPU,4.05925916959229e+24,
,,,,,,85222692992392890000,,,,cpu-tier-level,,0.5,,,,,29,,,,,,,,,,,,,,,phz,PHz CPU,6.60322797209737e+24,
,,,,,,127834039488589330000,,,,cpu-tier-level,,0.5,,,,,30,,,,,,,,,,,,,,,phz,PHz CPU,1.07415215017839e+25,
,,,,,,191751059232884000000,,,,cpu-tier-level,,0.5,,,,,31,,,,,,,,,,,,,,,phz,PHz CPU,1.74733152725966e+25,
,,,,,,287626588849326000000,,,,cpu-tier-level,,0.5,,,,,32,,,,,,,,,,,,,,,phz,PHz CPU,2.84239757435529e+25,
,,,,,,431439883273989000000,,,,cpu-tier-level,,0.5,,,,,33,,,,,,,,,,,,,,,phz,PHz CPU,4.62374989786368e+25,
,,,,,,647159824910983500000,,,,cpu-tier-level,,0.5,,,,,34,,,,,,,,,,,,,,,phz,PHz CPU,7.52148936196711e+25,
,,,,,,970739737366475300000,,,,cpu-tier-level,,0.5,,,,,35,,,,,,,,,,,,,,,phz,PHz CPU,1.22352643356257e+26,
,,,,,,1.456109606049713e+21,,,,cpu-tier-level,,0.5,,,,,36,,,,,,,,,,,,,,,phz,PHz CPU,1.99031981776921e+26,
,,,1,,cpu,,,,,task,,,0,fetchBit,,task,,,Fetch Bit,,2,,0,,true,0,,,,2,,,,,1
,,,2,,cpu,,,,,task,,,0,decodeBit,,task,,,Decode Bit,,6,,0,,true,0,,,,6,,,,,1
,,,1,,cpu,,,,,task,,,1,bitFlip,,task,,,Bit Flip,,4,,0,,true,0,,,,4,,,,,1
,,,1,,cpu,,,,,task,,,1,bitShift,,task,,,Bit Shift,,4,,0,,true,0,,,,4,,,,,1
,,,16,,cpu,,,,,task,,,2,byteCopy,,task,,,Byte Copy,,32,,0,,true,0,,,,32,,,,,1
,,,2,,cpu,,,,,task,,,1,packetCheck,,task,,,Packet Check,,50,,0,,true,0,,,,50,,,,,1
,,,8,,cpu,,,,,task,,,0,readRamPage,,task,,,Read RAM Page,,288,,256,,true,0,,,,288,,,,,1
,,,8,,cpu,,,,,task,,,0,writeRamPage,,task,,,Write RAM Page,,296,,256,,true,0,,,,296,,,,,1
,,,8,,cpu,,,,,task,,,0,overwriteRamPage,,task,,,Overwrite RAM Page,,280,,256,,true,0,,,,280,,,,,1
,,,8,,cpu,,,,,task,,,0,stageChecksumPage,,task,,,Stage Checksum Page,,288,,256,,true,0,,,,288,,,,,1
,,,8,,cpu,,,,,task,,,0,checksumStep,,task,,,Checksum Step,,300,,256,,true,0,,,,300,,,,,1
,,,16,,cpu,,,,,task,,,0,scanRamPage,,task,,,Scan RAM Page,,560,,512,,true,0,,,,560,,,,,1
,,,16,,cpu,,,,,task,,,0,repairRamDrift,,task,,,Repair Drift,,560,,512,,true,0,,,,560,,,,,1
,,,8,,cpu,,,,,task,,,0,readQueueTable,,task,,,Read Queue Table,,288,,256,,true,0,,,,288,,,,,1
,,,8,,cpu,,,,,task,,,0,compactQueueEntries,,task,,,Compact Queue Entries,,318,,256,,true,0,,,,318,,,,,1
,,,8,,cpu,,,,,task,,,0,samplePowerRails,,task,,,Sample Power Rails,,296,,256,,true,0,,,,296,,,,,1
,,,8,,cpu,,,,,task,,,0,normalizeDrawTrace,,task,,,Normalize Draw Trace,,312,,256,,true,0,,,,312,,,,,1
,,,16,,cpu,,,,,task,,,0,readBusWindow,,task,,,Read Bus Window,,1120,,1024,,true,0,,,,1120,,,,,1
,,,16,,cpu,,,,,task,,,0,mirrorBusState,,task,,,Mirror Bus State,,1184,,1024,,true,0,,,,1184,,,,,1
,,,12,,cpu,,,,,task,,,0,sampleThermalSensors,,task,,,Sample Thermal Sensors,,444,,384,,true,0,,,,444,,,,,1
,,,12,,cpu,,,,,task,,,0,fitHeatCurve,,task,,,Fit Heat Curve,,480,,384,,true,0,,,,480,,,,,1
,,,32,,cpu,,,,,task,,,0,loadShards,,task,,,Load Shards,,4320,,4096,,true,0,,,,4320,,,,,1
,,,32,,cpu,,,,,task,,,0,reconcileShards,,task,,,Reconcile Shards,,4560,,4096,,true,0,,,,4560,,,,,1
,,,0,,cpu,,,,,task,,,0,mergeShardBarrier,,task,,,Merge Barrier,,0,,0,,true,0,,,,0,,,,,1
,,,16,,cpu,,,,,task,,,0,commitShards,,task,,,Commit Shards,,1124,,1024,,true,0,,,,1124,,,,,1
,,,16,,cpu,,,,,task,,,0,stageSourceTree,,task,,,Stage Source Tree,,608,,512,,true,0,,,,608,,,,,1
,,,8,,cpu,,,,,task,,,0,compileUnits,,task,,,Compile Units,,680,,512,,true,0,,,,680,,,,,1
,,,0,,cpu,,,,,task,,,0,linkBarrier,,task,,,Link Barrier,,0,,0,,true,0,,,,0,,,,,1
,,,16,,cpu,,,,,task,,,0,linkBinary,,task,,,Link Binary,,648,,512,,true,0,,,,648,,,,,1
,,,8,,cpu,,,,,task,,,0,writeArtifact,,task,,,Write Artifact,,552,,512,,true,0,,,,552,,,,,1
,,,24,,cpu,,,,,task,,,0,loadSceneTiles,,task,,,Load Scene Tiles,,680,,512,,true,0,,,,680,,,,,1
,,,8,,cpu,,,,,task,,,0,shadeTiles,,task,,,Shade Tiles,,740,,512,,true,0,,,,740,,,,,1
,,,0,,cpu,,,,,task,,,0,compositeBarrier,,task,,,Composite Barrier,,0,,0,,true,0,,,,0,,,,,1
,,,16,,cpu,,,,,task,,,0,compositeFrame,,task,,,Composite Frame,,1220,,1024,,true,0,,,,1220,,,,,1
,,,16,,cpu,,,,,task,,,0,writeFrameBuffer,,task,,,Write Frame Buffer,,1120,,1024,,true,0,,,,1120,,,,,1
,,,32,,cpu,,,,,task,,,0,stageTestFixtures,,task,,,Stage Test Fixtures,,672,,512,,true,0,,,,672,,,,,1
,,,8,,cpu,,,,,task,,,0,runRegressionCases,,task,,,Run Cases,,720,,512,,true,0,,,,720,,,,,1
,,,8,,cpu,,,,,task,,,0,compareResults,,task,,,Compare Results,,660,,512,,true,0,,,,660,,,,,1
,,,0,,cpu,,,,,task,,,0,reportBarrier,,task,,,Report Barrier,,0,,0,,true,0,,,,0,,,,,1
,,,16,,cpu,,,,,task,,,0,summarizeReport,,task,,,Summarize Report,,1200,,1024,,true,0,,,,1200,,,,,1
,,,16,,cpu,,,,,task,,,0,writeReport,,task,,,Write Report,,1120,,1024,,true,0,,,,1120,,,,,1
,,,8,,cpu,,,,,task,,,0,scatterShards,,task,,,Scatter Shards,,176,,0,,true,0,,,,176,,,,,1
,,,8,,cpu,,,,,task,,,0,decodeShards,,task,,,Decode Shards,,200,,0,,true,0,,,,200,,,,,1
,,,8,,cpu,,,,,task,,,0,hashShards,,task,,,Hash Shards,,488,,0,,true,0,,,,488,,,,,1
,,,4,,cpu,,,,,task,,,0,commitBenchmarkResult,,task,,,Commit Result,,64,,0,,true,0,,,,64,,,,,1
,,,8,,system,,,,,task,,,2,tinyChecksum,,task,,,Tiny Checksum,,332,,256,,true,0,,,,332,,,,,1
,,,16,,system,,,,,task,,,3,memoryScrub,,task,,,Memory Scrub,,608,,512,,true,0,,,,608,,,,,1
,,,8,,system,,,,,task,,,2,queueCompaction,,task,,,Queue Compaction,,350,,256,,true,0,,,,350,,,,,1
,,,8,,system,,,,,task,,,2,powerTelemetry,,task,,,Power Telemetry,,352,,256,,true,0,,,,352,,,,,1
,,,16,,system,,,,,task,,,5,busMirror,,task,,,Bus Mirror,,1280,,1024,,true,0,,,,1280,,,,,1
,,,12,,system,,,,,task,,,4,thermalProbe,,task,,,Thermal Probe,,540,,384,,true,0,,,,540,,,,,1
,,,40,,system,,,,,task,,,8,shardReconcile,,task,,,Shard Reconcile,,5908,,4096,,true,0,,,,5908,,,,,1
,,,24,,system,,,,,task,,,12,compileCode,,task,,,Compile Code,,13616,,512,,true,0,,,,13616,,,,,16
,,,40,,system,,,,,task,,,18,renderFrame,,task,,,Render Frame,,24132,,1024,,true,0,,,,24132,,,,,24
,,,48,,system,,,,,task,,,24,regressionTest,,task,,,Regression Test,,51600,,1024,,true,0,,,,51600,,,,,32
,,,4,,cpu,,,,,task,,,4,microBenchmark,,benchmark,,,Micro Benchmark,,84,,0,,false,0,,,,84,,,,,1
,,,4,,cpu,,,,,task,,,8,parallelismBenchmark,,benchmark,,,Parallelism Benchmark,,114,,0,,false,0,,,,114,,,,,1
,,,10,,system,,,,,task,,,14,multiCoreBenchmark,,benchmark,,,Multi-Core Benchmark,,928,,0,,false,0,,,,928,,,,,1
